undrr_key,label,link_group,link_maingroup,glide_code,emdat_key
MH0001,Downburst,hazhmconv,haztypehydromet,ST,nat-met-sto-sev
MH0002,Lightning (Electrical Storm),hazhmconv,haztypehydromet,ST,nat-met-sto-lig
MH0003,Thunderstorm,hazhmconv,haztypehydromet,ST,nat-met-sto-sto
MH0004,Coastal Flood,hazhmflood,haztypehydromet,FL,nat-hyd-flo-coa
MH0005,Estuarine (Coastal) Flood,hazhmflood,haztypehydromet,OT,
MH0006,Flash Flood,hazhmflood,haztypehydromet,FF,nat-hyd-flo-fla
MH0007,Fluvial (Riverine) Flood,hazhmflood,haztypehydromet,FL,nat-hyd-flo-riv
MH0008,Groundwater Flood,hazhmflood,haztypehydromet,FL,nat-hyd-flo-flo
MH0009,Ice-Jam Flood Including Debris,hazhmflood,haztypehydromet,FL,nat-hyd-flo-ice
MH0010,Ponding (Drainage) Flood,hazhmflood,haztypehydromet,FL,nat-hyd-flo-flo
MH0011,Snowmelt Flood,hazhmflood,haztypehydromet,FL,nat-hyd-flo-flo
MH0012,Surface Water Flooding,hazhmflood,haztypehydromet,FL,nat-hyd-flo-flo
MH0013,Glacial Lake Outburst Flood,hazhmflood,haztypehydromet,FL,nat-cli-glo-glo
MH0014,Black Carbon (Brown Clouds),hazhmlitho,haztypehydromet,OT,
MH0015,Dust storm or Sandstorm,hazhmlitho,haztypehydromet,VW,nat-met-sto-san
MH0016,Fog,hazhmlitho,haztypehydromet,OT,nat-met-fog-fog
MH0017,Haze,hazhmlitho,haztypehydromet,OT,
MH0018,Polluted Air,hazhmlitho,haztypehydromet,OT,
MH0019,Sand haze,hazhmlitho,haztypehydromet,OT,
MH0020,Smoke,hazhmlitho,haztypehydromet,OT,
MH0021,Ocean Acidification,hazhmmarine,haztypehydromet,OT,
MH0022,Rogue Wave,hazhmmarine,haztypehydromet,OT,nat-hyd-wav-rog
MH0023,Sea Water Intrusion,hazhmmarine,haztypehydromet,OT,
MH0024,Sea Ice (Icebergs),hazhmmarine,haztypehydromet,OT,
MH0025,Ice Flow,hazhmmarine,haztypehydromet,OT,
MH0026,Seiche,hazhmmarine,haztypehydromet,OT,nat-hyd-wav-sei
MH0027,Storm Surge,hazhmmarine,haztypehydromet,SS,nat-met-sto-sur
MH0028,Storm Tides,hazhmmarine,haztypehydromet,SS,nat-hyd-wav-rog
MH0029,Tsunami,hazhmmarine,haztypehydromet,TS,nat-geo-ear-tsu
MH0030,Depression or Cyclone (Low Pressure Area),hazhmpress,haztypehydromet,TC,nat-met-sto-tro
MH0031,Extra-tropical Cyclone,hazhmpress,haztypehydromet,EC,nat-met-sto-ext
MH0032,Sub-Tropical Cyclone,hazhmpress,haztypehydromet,TC,nat-met-sto-tro
MH0033,Acid Rain,hazhmprecip,haztypehydromet,OT,
MH0034,Blizzard,hazhmprecip,haztypehydromet,OT,nat-met-sto-bli
MH0035,Drought,hazhmprecip,haztypehydromet,DR,nat-cli-dro-dro
MH0036,Hail,hazhmprecip,haztypehydromet,ST,nat-met-sto-hai
MH0037,Ice Storm,hazhmprecip,haztypehydromet,OT,
MH0038,Snow,hazhmprecip,haztypehydromet,OT,
MH0039,Snow Storm,hazhmprecip,haztypehydromet,OT,
MH0040,Cold Wave,hazhmtemp,haztypehydromet,CW,nat-met-ext-col
MH0041,Dzud,hazhmtemp,haztypehydromet,OT,nat-met-ext-sev
MH0042,Freeze,hazhmtemp,haztypehydromet,OT,nat-met-ext-sev
MH0043,Frost (Hoar Frost),hazhmtemp,haztypehydromet,OT,nat-met-ext-sev
MH0044,Freezing Rain (Supercooled Rain),hazhmtemp,haztypehydromet,OT,nat-met-ext-sev
MH0045,Glaze,hazhmtemp,haztypehydromet,OT,nat-met-ext-sev
MH0046,Ground Frost,hazhmtemp,haztypehydromet,OT,nat-met-ext-sev
MH0047,Heatwave,hazhmtemp,haztypehydromet,HT,nat-met-ext-hea
MH0048,Icing (including Ice),hazhmtemp,haztypehydromet,OT,nat-met-ext-sev
MH0049,Thaw,hazhmtemp,haztypehydromet,OT,nat-met-ext-sev
MH0050,Avalanche,hazhmterr,haztypehydromet,AV,nat-geo-mmd-ava
MH0051,Mud Flow,hazhmterr,haztypehydromet,MS,nat-hyd-mmw-mud
MH0052,Rock Slide,hazhmterr,haztypehydromet,OT,
MH0053,Derecho,hazhmwind,haztypehydromet,VW,nat-met-sto-der
MH0054,Gale (Strong Gale),hazhmwind,haztypehydromet,OT,
MH0055,Squall,hazhmwind,haztypehydromet,OT,
MH0056,Subtropical Storm,hazhmwind,haztypehydromet,TC,nat-met-sto-tro
MH0057,"Tropical Cyclone (Cyclonic Wind, Rain [Storm] surge)",hazhmwind,haztypehydromet,TC,nat-met-sto-tro
MH0058,Tropical Storm,hazhmwind,haztypehydromet,TC,nat-met-sto-tro
