list_name,name,label,link_group,link_maingroup,usercountry,curr_sdate,curr_fdate,curr_detail_link,,,,,,,,,,,
ORGANISATION TAXONOMIES,,,,,,,,,,,,,,,,,,,
organtypes,orgtypeun,UN & International Organisations,,,,,,,,,,,,,,,,,
organtypes,orgtypegov,Governmental,,,,,,,,,,,,,,,,,
organtypes,orgtyperio,Regional Intergovernmental Organisation,,,,,,,,,,,,,,,,,
organtypes,orgtypengo,Non Governmental Organisation,,,,,,,,,,,,,,,,,
organtypes,orgtypeacad,Academic & Scientific,,,,,,,,,,,,,,,,,
organtypes,orgtypepriv,Private Sector,,,,,,,,,,,,,,,,,
organtypes,orgtypenews,News & Media,,,,,,,,,,,,,,,,,
organtypes,orgtypeother,Others,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAZARD,,,,,,,,,,,,,,,,,,,
hazardtypes,haztypehydromet,Meterological & Hydrological,,,,,,,,,,,,,,,,,
hazardtypes,haztypeextraterr,Extraterrestrial,,,,,,,,,,,,,,,,,
hazardtypes,haztypegeohaz,Geohazards,,,,,,,,,,,,,,,,,
hazardtypes,haztypeenviron,Environmental,,,,,,,,,,,,,,,,,
hazardtypes,haztypechem,Chemical,,,,,,,,,,,,,,,,,
hazardtypes,haztypebio,Biological,,,,,,,,,,,,,,,,,
hazardtypes,haztypetech,Technological,,,,,,,,,,,,,,,,,
hazardtypes,haztypesoc,Societal,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
hazardsubtypes,hazhmconv,Convective-Related,haztypehydromet,HM-CONV,,,,,,,,,,,,,,,
hazardsubtypes,hazhmflood,Flood,haztypehydromet,HM-FLOOD,,,,,,,,,,,,,,,
hazardsubtypes,hazhmlitho,Lithometeors,haztypehydromet,HM-LITHO,,,,,,,,,,,,,,,
hazardsubtypes,hazhmmarine,Marine,haztypehydromet,HM-MARINE,,,,,,,,,,,,,,,
hazardsubtypes,hazhmpress,Pressure-Related,haztypehydromet,HM-PRESS,,,,,,,,,,,,,,,
hazardsubtypes,hazhmprecip,Precipitation-Related,haztypehydromet,HM-PRECIP,,,,,,,,,,,,,,,
hazardsubtypes,hazhmtemp,Temperature-Related,haztypehydromet,HM-TEMP,,,,,,,,,,,,,,,
hazardsubtypes,hazhmterr,Terrestrial,haztypehydromet,HM-TERR,,,,,,,,,,,,,,,
hazardsubtypes,hazhmwind,Wind-Related,haztypehydromet,HM-WIND,,,,,,,,,,,,,,,
hazardsubtypes,hazetextraterr,Extraterrestrial,haztypeextraterr,ET-EXTRATERR,,,,,,,,,,,,,,,
hazardsubtypes,hazgeoseis,Seismogenic (Earthquakes),haztypegeohaz,GEO-SEIS,,,,,,,,,,,,,,,
hazardsubtypes,hazgeovolc,Volcanogenic (volcanoes and geothermal),haztypegeohaz,GEO-VOLC,,,,,,,,,,,,,,,
hazardsubtypes,hazgeoother,Other Geohazard,haztypegeohaz,GEO-OTHER,,,,,,,,,,,,,,,
hazardsubtypes,hazenvenvdeg,Environmental Degradation,haztypeenviron,ENV-DEG,,,,,,,,,,,,,,,
hazardsubtypes,hazchemgas,Gases,haztypechem,CHEM-GAS,,,,,,,,,,,,,,,
hazardsubtypes,hazchemmetal,Heavy Metals,haztypechem,CHEM-METAL,,,,,,,,,,,,,,,
hazardsubtypes,hazchemfoodsaf,Food Safety,haztypechem,CHEM-FOODSAF,,,,,,,,,,,,,,,
hazardsubtypes,hazchempest,Pesticides,haztypechem,CHEM-PEST,,,,,,,,,,,,,,,
hazardsubtypes,hazchempops,Persistent Organic Pollutants (POPs),haztypechem,CHEM-POPS,,,,,,,,,,,,,,,
hazardsubtypes,hazchemhydrocar,Hydrocarbons,haztypechem,CHEM-HYDROCAR,,,,,,,,,,,,,,,
hazardsubtypes,hazchemcbrne,"CBRNE (Chemical, Biological, Radiological, Nuclear and Explosive)",haztypechem,CHEM-CBRNE,,,,,,,,,,,,,,,
hazardsubtypes,hazchemother,Other Chemical Hazards and Toxins,haztypechem,CHEM-OTHER,,,,,,,,,,,,,,,
hazardsubtypes,hazchemfishaqua,Fisheries and Aquaculture,haztypechem,CHEM-FISHAQUA,,,,,,,,,,,,,,,
hazardsubtypes,hazbiofishaqua,Fisheries and Aquaculture,haztypebio,BIO-FISHAQUA,,,,,,,,,,,,,,,
hazardsubtypes,hazbioinfest,Insect Infestation,haztypebio,BIO_INFEST,,,,,,,,,,,,,,,
hazardsubtypes,hazbioinvspe,Invasive Species,haztypebio,BIO_INVSPE,,,,,,,,,,,,,,,
hazardsubtypes,hazbiohumani,Human-Animal Interaction,haztypebio,BIO_HUMANI,,,,,,,,,,,,,,,
